Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,25.884245,26.085209,25.562700,25.763666,17.156115,74142
2000-01-31,24.919615,26.085209,24.919615,26.004824,17.316692,174160
2000-02-01,25.643087,26.527330,25.643087,26.527330,17.664642,212475
2000-02-02,26.688103,27.130224,25.723473,25.964630,17.289936,1337922
2000-02-03,25.803860,26.527330,25.723473,26.125402,17.396994,223796
2000-02-04,26.688103,26.688103,25.924437,26.286175,17.504055,657952
2000-02-07,26.286175,26.929260,26.125402,26.848875,17.878750,496605
2000-02-08,27.130224,27.250805,26.647909,26.728296,17.798468,1008511
2000-02-09,26.446945,26.728296,26.245981,26.647909,17.744928,213719
2000-02-10,26.728296,26.929260,26.527330,26.607718,17.718172,142189
2000-02-11,26.728296,26.808681,26.527330,26.768490,17.825235,177892
2000-02-14,27.331190,27.331190,26.768490,27.130224,18.066114,737194
2000-02-15,27.290997,27.652733,27.009645,27.371384,18.226702,1043716
2000-02-16,27.371384,28.737942,27.371384,28.336014,18.869049,198294
2000-02-17,28.536978,29.139872,28.135048,28.336014,18.869049,171796
2000-02-18,28.536978,29.139872,27.733118,28.295820,18.842287,616651
2000-02-21,28.456593,29.139872,28.295820,28.858521,19.216986,153510
2000-02-22,29.702572,29.702572,28.255627,28.536978,19.002865,531437
2000-02-23,28.938908,29.059486,28.536978,28.536978,19.002865,418730
2000-02-24,28.135048,28.938908,28.135048,28.336014,18.869049,201404
2000-02-25,28.536978,29.139872,28.336014,28.577169,19.029636,232006
2000-02-28,28.657557,28.898714,28.456593,28.617363,19.056395,157117
2000-02-29,28.938908,28.938908,27.532154,27.532154,18.333750,292589
2000-03-01,28.336014,28.336014,27.049839,27.049839,18.012581,351430
2000-03-02,27.170418,27.813505,27.130224,27.130224,18.066114,259996
2000-03-03,27.934084,27.934084,27.090033,27.090033,18.039347,188839
2000-03-06,28.094854,28.094854,27.130224,27.733118,18.467573,614909
2000-03-07,27.130224,27.331190,27.130224,27.210611,18.119631,197672
2000-03-08,27.009645,27.009645,25.763666,25.763666,17.156115,309383
2000-03-09,25.763666,27.210611,25.763666,27.170418,18.092871,349813
2000-03-10,26.326366,27.331190,26.326366,26.889069,17.905525,135223
2000-03-13,27.049839,27.733118,26.728296,27.652733,18.455425,143806
2000-03-14,27.733118,27.934084,26.929260,27.130224,18.106701,188715
2000-03-15,26.929260,27.331190,26.125402,26.326366,17.570208,75262
2000-03-16,27.331190,27.733118,26.125402,27.250805,18.187178,133108
2000-03-17,27.331190,27.331190,26.326366,26.326366,17.570208,478069
2000-03-20,27.170418,27.532154,26.929260,27.009645,18.026232,71157
2000-03-21,26.929260,27.733118,26.567524,27.371384,18.267654,216954
2000-03-22,27.371384,27.893890,27.371384,27.733118,18.509079,236484
2000-03-23,27.733118,28.697748,27.532154,28.617363,19.099218,150275
2000-03-24,28.536978,28.737942,28.336014,28.336014,18.911448,339736
2000-03-27,28.376205,28.938908,28.215433,28.215433,18.830975,231508
2000-03-28,28.536978,28.536978,27.371384,27.733118,18.509079,271068
2000-03-29,28.014469,28.014469,27.331190,27.331190,18.240835,443984
2000-03-30,27.572348,28.456593,27.532154,28.135048,18.777321,290723
2000-03-31,28.737942,28.938908,28.295820,28.778135,19.206516,143558
2000-04-03,28.778135,29.421223,28.778135,29.421223,19.635715,976291
2000-04-04,29.340836,29.742765,29.220257,29.220257,19.501589,684946
2000-04-05,29.019293,30.144695,29.019293,29.983923,20.011269,924043
2000-04-06,30.305466,30.747587,30.024117,30.506432,20.359987,149902
2000-04-07,30.506432,31.310289,30.345659,30.948553,20.655062,1698309
2000-04-10,30.948553,32.154343,30.345659,31.511253,21.030605,151146
2000-04-11,31.390675,31.390675,30.948553,31.229904,20.842838,595130
2000-04-12,30.827974,31.752413,30.827974,31.752413,21.191549,429802
2000-04-13,31.591640,32.516075,31.591640,31.953377,21.325672,1272985
2000-04-14,31.149517,31.832796,30.747587,31.109325,20.762360,383028
2000-04-17,30.426044,31.149517,30.385853,30.747587,20.520929,261738
2000-04-18,31.350483,31.350483,30.546623,30.747587,20.520929,127510
2000-04-19,30.546623,30.948553,30.144695,30.667204,20.467297,174782
2000-04-20,30.345659,31.350483,30.345659,31.149517,20.789179,121663
2000-04-21,null,null,null,null,null,null
2000-04-24,30.988747,32.556271,30.988747,32.475883,21.674402,144926
2000-04-25,32.475883,32.596462,31.953377,32.395496,21.620750,225413
2000-04-26,32.355305,32.355305,31.350483,32.033764,21.379330,116065
2000-04-27,31.953377,32.154343,31.028938,31.551447,21.057432,733711
2000-04-28,31.471062,32.274921,31.350483,31.913183,21.298853,94917
2000-05-01,31.913183,32.154343,31.430868,32.154343,21.459797,51253
2000-05-02,32.154343,32.234726,31.752413,31.832796,21.245201,74142
2000-05-03,32.073956,32.918007,31.471062,32.717041,21.835352,249795
2000-05-04,32.556271,32.877815,32.033764,32.717041,21.835352,260369
2000-05-05,32.475883,32.877815,32.355305,32.837620,21.915817,104745
2000-05-08,32.837620,32.837620,32.114147,32.114147,21.432970,227030
2000-05-09,32.114147,32.556271,32.033764,32.154343,21.459797,197672
2000-05-10,32.355305,32.757236,32.274921,32.556271,21.728046,87453
2000-05-11,32.757236,33.319935,32.556271,33.319935,22.237720,1013984
2000-05-12,33.159164,33.561092,32.958199,33.159164,22.130428,424950
2000-05-15,33.159164,35.771706,33.159164,35.369774,23.605768,645636
2000-05-16,34.967846,35.369774,33.601288,34.565914,23.069267,465878
2000-05-17,33.963024,34.284565,33.279743,33.762058,22.532789,281144
2000-05-18,33.802250,34.766880,33.762058,34.364952,22.935158,509542
2000-05-19,34.807076,35.289391,34.043407,34.445339,22.988819,151644
2000-05-22,null,null,null,null,null,null
2000-05-23,34.364952,35.369774,34.244373,34.847267,23.257050,98027
2000-05-24,34.766880,35.329582,34.766880,35.168812,23.471649,137338
2000-05-25,34.967846,35.128616,34.565914,34.766880,23.203402,89195
2000-05-26,34.766880,34.766880,34.163986,34.244373,22.854689,56229
